,cluster,title
0,0,An Inductive Logic Programming Approach to Statistical Relational Learning
1,0,Neural Generation of Textual Summaries from Knowledge Base Triples
3,0,Relationships between assumptions.
4,0,"Termination of rewriting - extensions, comparison and automatic generation of simplification orderings."
5,0,Universal routing strategies.
6,0,FFT specific compilation in IBM blue gene.
8,0,Projection-based strictness analysis - theoretical and practical aspects.
9,0,Incremental partial deduction.
11,0,Evaluation of functional expressions by hypergraph rewriting.
13,0,Negation as failure in explanation-based generalization.
15,0,Comparing reduction strategies in resource-conscious lambda calculi.
16,0,Multimedia information system with automatic content retrieval.
17,0,Structure-Based Virtual Screening Using Index Technology.
18,0,Terminator II - stopping partial evaluatin of fully recursive programs.
21,0,Flow analysis of typed higher-order programs.
24,0,"Schematic Maps on Demand - Design, Modeling and Visualization."
25,0,A combined parametric and nonparametric approach to time series analysis - motivated by coastal upwelling prediction.
26,0,Generalized complexity cores and levelability of intractable sets.
27,0,Nonuniform complexity classes with sub-linear advice functions.
28,0,Graph reduction on shared-memory multiprocessors.
30,0,Modifications and acyclic decompositions of relational database schemes.
31,0,Multioperator Weighted Monadic Datalog.
32,0,Distributed and parallel graph algorithms - models and experiments.
35,0,Semantische Mediation f&uuml;r heterogene Informationsquellen.
36,0,New approaches to in silico design of epitope-based vaccines.
37,0,Analysis of low-resolution range image sequences.
38,0,Dynamic data structures on multiple storage media.
40,0,Skalierbares und flexibles Live-Video Streaming mit der Media Internet Streaming Toolbox.
41,0,Document verification with temporal description logics.
43,0,Schematransformationen in Datenbanken.
44,0,Quality of Service and Optimization in Data Integration Systems.
48,0,Improving computer communication performance by reducing memory bandwidth consumption.
49,0,Multimodale Interaktion in virtueller Realit&auml;t am Beispiel der virtuellen Konstruktion.
50,0,Natural language in model world interfaces.
51,0,"Analysis of high throughput data - protein protein interactions, protein complexes and RNA half life."
52,0,Projection in constraint logic programming.
54,0,Abstract resource language ARL - eine Sprache zur Spezifikation und Kontrolle von Biocomputing Experimenten.
56,0,On Gr&ouml;bner bases in monoid and group rings.
57,0,Safety assurance in interlocking design.
59,0,Resource-efficient fault and intrusion tolerance.
61,0,Efficient object-based hierarchical radiosity methods.
63,0,Online Surfface Reconstruction from Unorganized Point Clouds with Integrated Texture Mapping.
65,0,Informations&uuml;bertragung in L-Systemen.
66,0,Topological vector field visualization with Clifford algebra.
67,0,On Information-Theoretic Security - Contemporary Problems and Solutions.
68,0,Power domain constructions.
72,0,Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.
73,0,Expressiveness of conditional equational systems with built-in predicates.
76,0,"Visual evaluation, scaling and transport of secure videos."
77,0,"Coalgebras, monads and semantics."
78,0,Structural properties of complexity classes.
82,0,Global analysis and optimizing compilation of constraint solving algorithms in constraint logic programming.
83,0,Integrating twofold case retrieval and complete decision replay in CAPlan/CBC.
84,0,Object-oriented design and architecture of distributed systems.
85,0,"Program modules, separate compilation, and intermodule optimisation."
86,0,Computational Aspects of Abstract Argumentation.
87,0,Exploiting Spatial and Temporal Coherence in GPU-based Volume Rendering.
91,0,Recognition of circular-arc graphs and some subclasses.
93,0,Kolmogorov randomness and its applications to structural complexity theory.
97,0,Efficient program monitoring techniques.
98,0,Web ontology reasoning with logic databases.
99,0,Advances in dissimilarity-based data visualisation.
100,0,Integrated natural language generation with Schema-TAGs.
101,0,Subtree replacement systems.
102,0,Structural decomposition of hybrid systems.
103,0,Forecasting in database systems.
104,0,"A declarative integration of teminological, constraint-based, data-driven, and goal-directed reasoning."
105,0,Autonomous dynamic reconfiguration in collaborative problem solving.
106,0,Computational aspects of a first-order logic with sorts.
107,0,Scalable exploration of spatial data in large-scale scientific simulations.
109,0,Incorporating guarded execution into existing instruction sets.
110,0,Respiratory motion correction on 3D positron emission tomography images.
111,0,Considerations on default logics.
112,0,Realtime ray tracing and interactive global illumination.
113,0,Specification and verification of mobile real-time systems.
114,0,Effective / efficient IT transformation decision processes.
117,0,Intensionale Updates in deduktiven Datenbanken.
118,0,Functional models in configuration systems.
119,0,Knowledge sharing and trading on electronic marketplaces.
120,0,Dissecting cellular states and cell state transitions through integrative analysis of epigenetic dynamics.
122,0,Illustrative visualization of medical data sets.
124,0,"On development, feasibility, and limits of highly efficient CPU and GPU programs in several fields - fast parallel SIMDized GPU-accelerated reed-solomon encoding, heterogeneous linpack benchmark, and event reconstruction for the ALICE experiment."
125,0,Transduction d'arborescences - application aux manipulations de formules sur ordinateur.
128,0,Decoupling Vision from Action - Redirected Walking and Rehabilitaiton in Immersive Virtual Environments.
130,0,On types and type consistency in logic programming.
131,0,Advanced visualization and modeling of tetrahedral meshes.
134,0,Ensemble algorithms with applications to clustering and image segmentation.
135,0,A structural approach to diophantine definability.
136,0,Optimierung funktionaler Programme mittels abstrakter Programm-Interpretation.
137,0,Automatic offline understanding of hand-drawn sketch maps.
138,0,Semantics and correctness of classes of deterministic and nondeterministic recursive programs.
141,0,"Structured non-coding RNAs - prediction, comparison, annotation."
142,0,Evolution of finite populations in dynamic environments.
144,0,DRUM-II - efficient model-based diagnosis of technical systems.
145,0,Hybrid methods of natural language analysis.
147,0,Replication-based scalable parallelisation of virtual environments.
151,0,Multivalued differential equations on graphs and applications.
154,0,An empirical evaluation of dependence analysis in parallel program comprehension.
156,0,Parallelization of search-based systems by static partitioning with slackness.
157,0,Preferential disambiguation in natural language processing.
158,0,Quelques proprietes des series formelles en variables non commutatives.
160,0,"Data Flow Based System Level Modeling, Analysis, and Synthesis of High-Performance Streaming Image Processing Applications."
162,0,An analysis of two-population coevolutionary computation.
163,0,Image digitization and its influence on shape properties in finite dimensions.
167,0,Ordered grammars with equivalence classes - some formal and linguistic aspects.
169,0,Using command objects to implement user interfaces.
170,0,Automata learning and its applications.
171,0,Geometric dilation and halving distance.
172,0,Registration and restoration of medical images.
173,0,Processing structured hypermedia - a matter of style.
175,0,Mass preserving motion correction and multimodal image segmentation in positron emission tomography.
176,0,Assertional verification in distributed computing.
177,0,Laziness in logic programming.
179,0,Discrete scale-space formulation and multiscale edge extraction toward higher dimensions.
