,cluster,title
7,2,The complexity of simple subtyping systems.
10,2,Talking to the semantic web - natural language query interfaces for casual end-users.
19,2,The support feature machine - an odyssey in high-dimensional spaces.
33,2,On the representation of mathematical concepts and their translation into first-order logic.
34,2,On the automatic generation of test patterns from mixed-level hardware descriptions.
39,2,Symbolic modelling of the dynamic environments of autonomous agents.
45,2,Providing decision support in the operative management of process disruptions.
64,2,On the hierarchical design of distributed systems.
71,2,On optimum convergence rates of the Crank-Nicholson scheme to the stokes initial value problem in higher order function spaces using realistic data.
75,2,"The architecture of eNVy, a non-volatile, main memory storage system."
89,2,Distributed execution environments for the CODE 2.0 parallel programming system.
90,2,"Assembly of the interactome, characterization of functional modules and novel approaches to the analysis of signaling networks in human platelets."
92,2,Parallel map analysis on the CM-5 for landscape ecology models.
96,2,Modal logic and the Curry-Howard isomorphism.
127,2,The Asynchronous Graz Brain Switch.
132,2,The temporal properties of english conditionals and modals.
146,2,Estimating and optimizing power consumption of integrated macro blocks at the behavioral level.
149,2,The complexity of subclasses of logical theories.
150,2,On space-bounded learning and the Vapnik-Chervonenkis dimension.
166,2,Machine Learning Techniques for the Analysis of High-Throughput DNA and RNA Sequencing Data.
168,2,The ambiguity of morphisms in free monoids and its impact on algorithmic properties of pattern languages.
213,2,On the structure of interactable complexity classes.
214,2,On the simulation order of proof systems.
231,2,"The role of features and aspects in software development: similarities, differences, and synergetic potential."
239,2,On modeling the spatiotemporal processing characteristics of the retina.
243,2,Automating the logic synthesis of arithmetic-logic-units.
252,2,Third Generation Web APIs - Bridging the Gap between REST and Linked Data.
253,2,Novel methods for the analysis of small molecule fragmentation mass spectra.
265,2,Method for the design of embedded fault-tolerant computers for process control and design example.
268,2,An approach to support interoperable systems - the meta-level description of type transformation.
269,2,Investigating the influence of situations and expectations in user behavior - empirical analysis in human-robot interaction.
273,2,The development and implementation of a performance database server.
274,2,Multi-touch selection and interaction on and above the surface.
284,2,The theory of interacting deductions and its application to operational semantics.
291,2,Techniques for avoiding redundancy in theorem proving based on the connection method.
308,2,On the combination of model- and property-oriented description techniques.
312,2,Combinatorical ordering and the geometric embedding of graphs.
316,2,The ATMS - an assumption based problem solving architecture utilizing specialization relations.
317,2,"Metal enrichment of the intra-cluster medium - galactic winds, starbursts and galaxy interactions."
326,2,"Predicate classes, promise classe, and the acceptance power of regular languages."
328,2,Engineering Coordination - A Methodology for the Coordination of Planning Systems.
335,2,On the magnification of exchange graphs with applications to enumeration problems.
339,2,Formal methods and the development of dependable systems.
340,2,The formal relationship between direct and continuation-passing style optimizing compilers - a synthesis of two paradigms.
346,2,Algebraic foundations of the unifying theories of programming.
