,cluster,title
333,4,Programmation de calculateur massivement parall&egrave;les : application &agrave; la factorisation d'entiers. (Programming massively parallel computers. Application to cryptography).
382,4,Structures et modeles de calculs de reecriture (Structures and models of rewriting calculi).
397,4,Transduction des langages de Chomsky.
787,4,Uso de contextos temporais para classifica&ccedil;&atilde;o de documentos.
887,4,Mining value chain and information technology: strategic alignment as effectiveness generator in mining companies (Cadeia de valor mineral e tecnologia da informa&ccedil;&atilde;o: alinhamento estrat&eacute;gico como gerador de efic&aacute;cia em empresas de minera&ccedil;&atilde;o).
1003,4,O uso estrat&eacute;gico da internet no planejamento de marketing.
1283,4,Association of genetic quantitative and population genetics approaches in plant breeding (Associa&ccedil;&atilde;o das abordagens de gen&eacute;tica quantitativa e de gen&eacute;tica de popula&ccedil;&otilde;es no melhoramento de plantas).
2205,4,Multiple techniques in the digital soil mapping (M&uacute;ltiplas t&eacute;cnicas no mapeamento digital de solos).
2285,4,Needling insertion simulation for dental anesthesia procedure training (Simula&ccedil;&atilde;o de inser&ccedil;&atilde;o de agulha para treinamento de procedimento de anestesia odontol&oacute;gica).
2357,4,Combinig classifiers using knowledge rule measures and genetic algortgms (Combina&ccedil;&atilde;o de classificadores simb&oacute;licos utilizando medidas de regras de conhecimento e algoritmos gen&eacute;ticos).
2707,4,Detec&ccedil;&atilde;o de poses locais de pontos de interesse para realidade aumentada baseadas em objetos (Local pose estimation of feature points for object based augmented reality).
2840,4,A data center command and control infrastructure for a computing resource ensemble (Uma infraestrutura de comando e controle de data center para um conjunto de recursos computacionais).
2869,4,Supervised learning neural networks in the support to the diagnosis of keratoconus (Rede de aprendizado supervisionado como m&eacute;todo de auxilio na detec&ccedil;&atilde;o do ceratocone).
2901,4,Applied methodology to obtain an information system from a hub port (Metodologia aplicada para obter um sistema de indicadores de porto concentrador de carga).
2928,4,Design de interface para sites.
2934,4,Method for computer ranking and triage applied to computer forensics (M&eacute;todo para ranqueamento e triagem de computadores aplicado &agrave; per&iacute;cia de inform&aacute;tica).
3067,4,Method for position extraction of agricultural machine based on pulsed neural networks and vanishing point (M&eacute;todo de extra&ccedil;&atilde;o da posi&ccedil;&atilde;o de m&aacute;quinas agr&iacute;colas por vis&atilde;o computacional baseado em redes pulsadas e ponto de fuga).
3125,4,Detection method of cancer in Dense Breast using Computer Aided Diagnosis (M&eacute;ToDo de Detec&ccedil;&atilde;O de C&acirc;Ncer EM MaMaS Densas utilizando Diagn&oacute;Stico Auxiliado por Computador).
3146,4,Adoption of innovations: the use of e-learning for employees a telecommunications company (Ado&ccedil;&atilde;o de inova&ccedil;&otilde;es: o uso do e-learning por colaboradores de uma empresa de telecomunica&ccedil;&otilde;es).
3171,4,Entanglement of two-qubit photon beam by magnetic field (Emaranhamento de feixes de f&oacute;tons por meio do campo magn&eacute;tico).
3408,4,Comparison of dose calculation algorithms in radiotherapy applied to lung tumors (Compara&ccedil;&atilde;o de algoritmos computacionais de c&aacute;lculo de dose em radioterapia aplicada aos tumores de pulm&atilde;o).
3545,4,A system for planning and management of watersheds with the use of multicriteria evaluation (Um sistema de planejamento e gest&atilde;o para bacias hidrogr&aacute;ficas com uso de an&aacute;lise multicrit&eacute;rios).
3738,4,Extended tomography: from basics to mapping mouse brains. (Tomografia estendida: do b&aacute;sico at&eacute; o mapeamento de c&eacute;rebro de camundongos.)
4048,4,HCIs recommendations for using interactive applications in television and second screen from DTV infrastructure (Recomenda&ccedil;&otilde;es de IHC para uso de aplicativos interativos em televis&atilde;o e segunda tela a partir de infraestrutura de TVD).
4166,4,A new program to 13C NMR spectrum prediction based on tridimensional models (Determina&ccedil;&atilde;o estrutural e simula&ccedil;&atilde;o de espectros de RMN13C de sesquiterpenos lactonizados utilizando m&eacute;todos computacionais).
4308,4,Adaptive decision tables on multicriteria decision making (Tabela de decis&atilde;o adaptativa na tomada de decis&atilde;o multicrit&eacute;rio).
4817,4,&Eacute;tudes in non-interactive zero-knowledge.
4988,4,A procedure for modelling the control system in intelligent buildings based on colored Petri nets (Proposta de um procedimento para a modelagem de sistemas de controle de edif&iacute;cios inteligentes utilizando a rede de Petri colorida).
6107,4,A machine-checked proof of correctness of Pastry. (Une preuve certifi&eacute;e par la machine de la correction du protocole Pastry).
7677,4,On R&eacute;nyi Information Measures and Their Applications.
12926,4,Sp&eacute;cification Formelle des Services Web &agrave; Interface Flexible.
28937,4,Techniques d'interaction exploitant la m&eacute;moire pour faciliter l'activation de commandes. (Interaction techniques using memory to facilitate command activation).
28938,4,"Constructions agr&eacute;gatives d'ordonnancements pour des jobs-shops statiques, dynamiques et r&eacute;actifs. (Aggregation methods for static, dynamic and reactive job-shops)."
28939,4,Brain microstructure mapping using quantitative and diffsusion MRI. (Cartographie de la microstructure du cerveau humain par IRM quantitative et IRM de diffusion).
28940,4,Gestion des assortiments de produits dans la grande distribution. (Management of product assortments in retailer).
28941,4,Contr&ocirc;le Automatique de Qualit&eacute; pour l' &Eacute;clairage Global. (Automatic Quality Control for Global Illumination).
28942,4,Towards Accurate and Scalable Recommender Systems. (Contributions &agrave; l'efficacit&eacute; et au passage &agrave; l'&eacute;chelle des Syst&egrave;mes de Recommandations).
28943,4,Application de la Programmation en Logique avec Contraintes au Probl&egrave;me d'Emploi du temps. (Application of Constraint Logic Programming to Timetable Problem).
28944,4,Design and Implementation of Lattice-Based Cryptography. (Conception and impl&eacute;mentation de cryptographie &agrave; base de r&eacute;seaux).
28945,4,Syst&egrave;mes reconfigurables et auto-organis&eacute;s : architecture et implantation. (Reconfigurable self-organised systems : architecture and implementation).
28947,4,Mining Business Process Information from Emails Logs for Process Models Discovery. (Extraction d'informations &agrave; partir des emails pour la d&eacute;couverte et l'analyse des processus m&eacute;tier).
28948,4,"Optimization, control, and game theoretical problems in consensus protocols. (Optimisation, contro&#770;le et the'orie des jeux dans les protocoles de consensus)."
28950,4,Inversion bay&eacute;sienne myope et non-supervis&eacute;e pour l'imagerie sur-r&eacute;solue. Application &agrave; l'instrument SPIRE de l'observatoire spatial Herschel. (Myopic and unsupervised bayesian inversion for over-resolved imaging. Application to SPIRE instrument of Herschel spatial observatory).
28954,4,Contributions to objective and subjective visual quality assessment of 3d models. (Contributions &agrave; l'&eacute;valuation objective et subjective de la qualit&eacute; visuelle des mod&egrave;les 3D).
28955,4,Applications et algorithmes pour l'optimisation lin&eacute;aire robuste en deux &eacute;tapes. (Applications and algorithms for two-stage robust linear optimization).
28956,4,V&eacute;rification formelle des syst&egrave;mes multi-agents auto-adaptatifs. (Formal verification of self-adaptive multi-agent systems).
28957,4,Courbes de B&eacute;zier en g&eacute;om&eacute;trie algorithmique : approximation et coh&eacute;rence topologique. (Bezier curves in Computational Geometry : approximation and topological coherence).
28958,4,Learning Situation Models for Providing Context-Aware Services. (Apprentissage des mod&egrave;les de situations afin de fournir des services sensibles au contexte).
28959,4,High quality adaptive rendering of complex photometry virtual environments. (Rendu adaptatif haute-qualit&eacute; d'environnements virtuels &agrave; photom&eacute;trie complexe).
28960,4,Persistence and Sheaves: from Theory to Applications. (Persistance et Faisceaux: de la Th&eacute;orie aux Applications).
28961,4,Data-driven natural language generation using statistical machine translation and discriminative learning. (L'approche discriminante &agrave; la g&eacute;n&eacute;ration de la parole).
28962,4,TEMPOS : une plate-forme pour le d&eacute;veloppement d'applications temporelles au dessus de SGBD &agrave; objets. (TEMPOS : A Platform for Developing Temporal Applications on top of Object DBMS).
28963,4,Analyse de Programmes Malveillants par Abstraction de Comportements. (Analysis of Malware by Behavior Abstraction).
28964,4,"Contributions &agrave; l'apprentissage statistique : estimation de densit&eacute;, agr&eacute;gation d'experts et for&ecirc;ts al&eacute;atoires. (Contributions to statistical learning : density estimation, expert aggregation and random forests)."
28965,4,Study of the composition models of field functions in computer graphics. (Etude des mod&egrave;les de composition de fonctions de champ scalaire en informatique graphique).
28966,4,Global power management system for self-powered autonomous wireless sensor node. (Syst&egrave;me de gestion globale de l'&eacute;nergie pour objets communicants autonomes en r&eacute;seau).
28967,4,Contributions to floating-point arithmetic : Coding and correct rounding of algebraic functions. (Contributions &agrave; l'arithm&eacute;tique flottante : codages et arrondi correct de fonctions alg&eacute;briques).
28968,4,Approche formelle pour la simulation interactive de mod&egrave;les mixtes. (A formal approach for the interactive simulation of mixed models).
28969,4,Autotuning with machine learning of OpenMP task applications. (Autotuning assist&eacute; par apprentissage automatique de t&acirc;ches OpenMP).
28970,4,"Inclusion complexes of amylose: morphogenesis, crystal structure and release of bioactive molecules. (Complexes d'inclusion de l'amylose: morphogen&egrave;se, structure cristalline et relargage de mol&eacute;cules bioactives)."
28971,4,Adaptations inter-couches pour la diffusion des services vid&eacute;o sans fil. (Cross-Layer Adaptations for wireless video streaming services).
28972,4,Supporting architectural design of acknowledged Software-intensive Systems- of-Systems. (Support &agrave; la conception architecturale de syst&egrave;mes-de-syst&egrave;mes reconnus &agrave; logiciel pr&eacute;pond&eacute;rant).
28975,4,Apprentissage spatial de corr&eacute;lations multimodales par des m&eacute;canismes d'inspiration corticale. (Spatial learning of multimodal correlations in a cortically inspired way).
28976,4,Potentiels d'un syst&egrave;me RSO basse fr&eacute;quence op&eacute;rant en polarim&eacute;trie compacte. (Potentials of a low frequency SAR system operating in compact polarimetry).
28978,4,"Convex and Spectral Relaxations for Phase Retrieval, Seriation and Ranking. (Relaxations convexes et spectrales pour les probl&egrave;mes de reconstruction de phase, seriation et classement)."
28979,4,Business environment-aware management of service-based business processes. (Gestion sensible au m&eacute;tier des processus &agrave; base de services).
28980,4,Un mod&egrave;le de structure de donn&eacute;es Cache-aware pour un parall&eacute;lisme et un &eacute;quilibrage dynamique de la charge. (Cache Aware Dynamics Data Layout for Efficient Shared Memory Parallelisation).
28981,4,Visualisation de donn&eacute;es temporelles personnelles. (Visualization of personal time-dependent data).
28982,4,Le treillis des op&eacute;rateurs de r&eacute;duction : applications aux bases de Gr&ouml;bner non commutatives et en alg&egrave;bre homologique. (The lattice of reduction operators: applications to noncommutative Gr&ouml;bner bases and homological algebra).
28983,4,Synthesis and expressive transformation of singing voice. (Synth&egrave;se et transformation expressive de la voix chant&eacute;e).
28984,4,Algorithmique et complexit&eacute; des syst&egrave;mes &agrave; compteurs. (Algorithmics and complexity of counter machines).
28985,4,Mod&egrave;le et langage &agrave; objets pour la programmation d'applications r&eacute;parties. (Object model and language for distributed programming).
28986,4,Typer la d&eacute;s&eacute;rialisation sans s&eacute;rialiser les types. (Typing unmarshalling without marshalling types).
28988,4,Techniques avanc&eacute;es pour la compression d'images m&eacute;dicales. (Advanced techniques for compression of biomedical images).
28989,4,Extraction d'un graphe de navigabilit&eacute; &agrave; partir d'un nuage de points 3D enrichis. (Extraction of navigability graph from large-scale 3D point cloud).
28990,4,Harnessing Forest Automata for Verification of Heap Manipulating Programs. (V&eacute;rification de programmes avec structures de donn&eacute;es complexes).
28991,4,Mod&eacute;lisation du d&eacute;veloppement de sp&eacute;cifications LOTOS. (Modeling the development of LOTOS specification).
28992,4,Restoration super-resolution of image sequences: application to TV archive documents. (Restauration super-r&eacute;solution de s&eacute;quences d'images: applications aux documents d'archives TV).
28993,4,Programmation math&eacute;matique en tomographie discr&egrave;te. (Mathematical programming for discrete tomography).
28994,4,On the Expressive Power of Invariant Logics over Sparse Classes of Structures. (Sur le pouvoir d'expression des logiques d&eacute;finies par invariance).
28995,4,Question Answering System in a Business Intelligence Context. (Syst&egrave;me de Questions/R&eacute;ponses dans un contexte de Business Ingelligence).
28996,4,Uncertainty learning for noise robust ASR. (Traitement de l'incertitude pour la reconnaissance de la parole robuste au bruit).
28997,4,Estimation et d&eacute;tection en imagerie hyperspectrale : application aux environnements c&ocirc;tiers. (Estimation and detection in hyperspectral imagery : application in coastal environments).
28998,4,Communication expressive de la forme au travers de l'&eacute;clairement et du rendu au trait. (Expressive shape depiction through shading and lines).
29001,4,An efficient interface capturing method to simulate dense suspensions of bodies immersed in a fluid. (M&eacute;thode de capture d'interface pour la simulation de suspensions d'objets immerg&eacute;es dans un fluide).
29002,4,Steps towards decisiveness in social choice. (R&egrave;gles de vote avec univers parall&egrave;les).
29003,4,Objets connect&eacute;s et vie priv&eacute;e : le long chemin restant. (Connected devices and privacy: a long journey ahead).
29004,4,"Fondations, m&eacute;thode et applications de l'apprentissage bay&eacute;sien. (Bayesian learning : foundations, method and applications)."
29005,4,Triangulation de Delaunay et arbres multidimensionnels.
29006,4,Ad hoc and general-purpose corpus construction from web sources. (Construction de corpus g&eacute;n&eacute;raux et sp&eacute;cialis&eacute;s &agrave; partir du Web).
29007,4,Architecture de communication &agrave; QoS garantie pour la simulation distribu&eacute;e.
29011,4,Pr&eacute;diction de performances d'applications de calcul distribu&eacute; ex&eacute;cut&eacute;es sur une architecture pair-&agrave;-pair. (Performance prediction of distributed computing applications executed on a peer-to-peer architecture).
29012,4,Formal verification of business process configuration in the Cloud. (V&eacute;rification formelle de la configuration des processus m&eacute;tiers dans le Cloud).
29013,4,D&eacute;compositions multi-&eacute;chelles de donn&eacute;es d&eacute;finies sur des graphes. (Multiscale Decompositions of Data Defined on Graphs).
29014,4,Optimisation de la consommation d'&eacute;nergie et de la latence dans les r&eacute;seaux sur puces. (Energy and latency optimizations for Network-on-Chips).
29015,4,Recherche de motifs graduels et application aux donn&eacute;es m&eacute;dicales. (Gradual patterns extraction and application to health data).
29016,4,La maturation de l'ovocyte canin in vivo et in vitro.
29018,4,Construction of the segment Delaunay triangulation by a flip algorithm (Construction de la triangulation de Delaunay de segments par un algorithme de flip).
29020,4,Affectation dynamique dans les syst&egrave;mes de transport multimodaux. (Dynamic assignment of users in a multimodal transportation system).
29021,4,Fusion d'images 3D du cerveau : &eacute;tude de mod&egrave;les et applications. (3D brain images fusion: models and applications).
29022,4,Partitionnement temps r&eacute;el multiprocesseur sous contraintes de qualit&eacute; de service et d'&eacute;nergie. (Multiprocessor real-time partitioning with Quality of Service requirements and energy constraints).
29023,4,Controlling execution time variability using COTS for Safety-critical systems. (Contr&ocirc;ler la variabilit&eacute; du temps d'ex&eacute;cution en utilisant COTS pour les syst&egrave;mes Safety-critical).
29025,4,Classification non supervis&eacute;e : de la multiplicit&eacute; des donn&eacute;es &agrave; la multiplicit&eacute; des analyses. (Clustering : from multiple data to multiple analysis).
29026,4,Visuo-proprioceptive conflicts of the hand for 3D user interaction in Augmented Reality. (Conflits visuo-proprioceptifs de la main pour l'interaction 3D en r&eacute;alit&eacute; augment&eacute;e).
29027,4,On information-centric routing and forwarding in the internet of things. (Du routage centr&eacute; contenu pour l'internet des objets).
29028,4,Segmentation d'images par combinaison adaptative couleur-texture et classification de pixels. : Applications &agrave; la caract&eacute;risation de l'environnement de r&eacute;ception de signaux GNSS. (Image segmentation by adaptive color/texture combination and classification of pixels : Application to characterization of the reception environment of GNSS signals).
29029,4,Transmission d'images sur les r&eacute;seaux de capteurs sans fil sous la contrainte de l'&eacute;nergie. (Energy-efficient image transmission for wireless camera sensor networks).
29030,4,Models and algorithms for fleet management of autonomous vehicles. (Mod&egrave;les et algorithmes de gestion de flottes de v&eacute;hicules autonomes).
29031,4,Certification de l'int&eacute;grit&eacute; d'images num&eacute;riques et de l'authenticit&eacute;. (Certification of authenticity and integrity of digital images).
29032,4,High-gain observer design for systems of PDEs. (Synth&egrave;se des observateurs grand gain pour des syst&egrave;mes d' EDP).
29033,4,Context dependency analysis in ubiquitous computing. (Analyse de d&eacute;pendance contexte dans ubiquitous computing).
29034,4,Performance Evaluation of Urban Rail Traffic Management Techniques. (&Eacute;valuation de Performances pour les Techniques de R&eacute;gulation du Trafic Ferroviaire Urbain).
29035,4,Development of analysis tools for gamma-ray spectrometry. (D&eacute;veloppement d'outils d'aide &agrave; l'expertise en spectrom&eacute;trie gamma).
29038,4,3D Optical flow analysis of a pulsed contrast agent in the bloodstream. Application to virtual angiography and Magnetic Particle Imaging. (Analyse 3D par flux optique d'un agent de contraste puls&eacute; dans la circulation sanguine - Applications &agrave; l'angiographie virtuelle et &agrave; l'imageur &agrave; particules magn&eacute;tiques).
29040,4,Towards a realistic analysis of sorting and searching algorithms. (Vers une analyse r&eacute;aliste des algorithmes de tri et de recherche).
29041,4,Towards Performance and Dependability Benchmarking of Distributed Fault Tolerance Protocols. (Performance et fiabilit&eacute; des protocoles de tol&eacute;rance aux fautes).
29044,4,Leveraging formal concept analysis and pattern mining for moving object trajectory analysis. (Exploitation de l'analyse formelle de concepts et de l'extraction de motifs pour l'analyse de trajectoires d'objets mobiles).
29045,4,Adaptation of SysML Blocks and Verification of Temporal Properties. (Adptation des Blocs sysML et verification des propri&eacute;t&eacute;s temporelles).
29046,4,Classification automatique et donn&eacute;es manquantes. (Clustering and missing data).
29047,4,"De l'utilisation de mesures de confiance en traduction automatique : &eacute;valuation, post-&eacute;dition et application &agrave; la traduction de la parole. (On the use of confidence measures in machine translation : evaluation, post edition and application to speech translation)."
29049,4,Design of a generic digital front-end for the internet of things. (Conception d'un front-end num&eacute;rique g&eacute;n&eacute;rique pour l'internet des objets).
29052,4,Advanced Difference of Convex functions Algorithms for some topics of Machine Learning with Big Data. (Algorithmes avanc&eacute;s de DCA pour certaines classes de probl&egrave;mes en apprentissage automatique du Big Data).
29053,4,Extensions modales des logiques de ressources: expressivit&eacute; et calculs. (Modal extensions of resource logics: expressivity and calculi).
29054,4,Middleware and programming models for multi-robot systems. (Intergiciel et mod&egrave;les de programmation pour les syst&egrave;mes multi-robots).
29055,4,Profile Guided Hybrid Compilation. (Compilation hybride guid&eacute;e pour Profil).
29056,4,Modelling Syntactic Gradience with Loose Constraint-based Parsing. (Mod&eacute;lisation de la gradience syntaxique par analyse rel&acirc;ch&eacute;e &agrave; base de contraintes).
29058,4,Cubical categories for homotopy and rewriting. (Les cat&eacute;gories cubiques en homotopie et en r&eacute;&eacute;criture).
29059,4,On-demand Development of Statistical Machine Translation Systems. (D&eacute;veloppement &agrave; la demande des syst&egrave;mes de traduction automatique statistiques).
29060,4,Efficient routing on multi-modal transportation networks. (Routage efficace sur r&eacute;seaux de transport multimodaux).
29062,4,Secure Multi-Party Computation and Privacy. (Calculs Multi-Parties et Vie Priv&eacute;e).
29065,4,Fouille de motifs bas&eacute;e sur la programmation par contraintes - Appliqu&eacute;e &agrave; la validation de logiciels. (Patterns mining under constraints - applied for software testing).
29066,4,Polyhedral Compilation for Domain Specific Languages. (Compilation poly&eacute;drique pour les langages d&eacute;di&eacute;s).
29067,4,KerA: A Unified Ingestion and Storage System for Scalable Big Data Processing. (KerA : un syst&egrave;me unifi&eacute; d'ingestion et de stockage pour le traitement efficace du Big Data).
29068,4,Approche combinatoire pour l'automatisation en Coq des preuves formelles en g&eacute;om&eacute;trie d'incidence projective. (Combinatorial approach for the automation in Coq of formal proofs in incidence projective geometry).
29070,4,Small animal 4D SPECT imaging : assessment of respiratory motion and iodide biodistribution. (Imagerie TEMP 4D du petit animal : estimation du mouvement respiratoire et de la biodistribution de l'iode).
29071,4,Energetic-lattice based optimization. (L'optimization par trellis-&eacute;nergetique).
29073,4,Extraction de r&egrave;gles d'association selon le couple support-MGK : Graphes implicatifs et Applications en didactique des math&eacute;matiques . (Mining association rules using the couple support-MGK : Implicatives graphs and Applications in mathematics education ).
29074,4,Towards Unsupervised And Incremental Semantic Mapping . (Vers une cartographie s&eacute;mantique non supervis&eacute;e et incr&eacute;mentale).
29075,4,Analyse Informatique de Guides de Bonnes Pratiques Cliniques. (Computer Analysis of Clinical Guidelines).
29076,4,Reconstruction d'un mod&egrave;le g&eacute;om&eacute;trique &agrave; partir d'un maillage 3D issu d'un scanner surfacique. (Reconstruction of a geometric model based on a 3D mesh from a surface scanner).
29077,4,Synth&egrave;se d'architectures de circuits FPGA tol&eacute;rants aux d&eacute;fauts. (Defect tolerant fpga architecture synthesis).
29078,4,Restauration d'images de noyaux cellulaires en microscopie 3D par l'introduction de connaissance a priori. (Denoising 3D microscopy images of cell nuclei using shape priors).
29079,4,Contribution &agrave; la g&eacute;n&eacute;ration automatique de plans de masse. (Contribution to automatic floorplan design).
29080,4,Cartographie de l'apprentissage artificiel et de ses algorithmes. (Cartography of machine learning and its algorithms).
29081,4,Interactions simultan&eacute;es de plusieurs utilisateurs avec une table interactive. (Multiple Users Simultaneous Interactions on an Interactive Multi-Touch Tabletop Display).
29082,4,Some Geometric Methods for the Analysis of Images and Textures. (Approches g&eacute;om&eacute;triques pour l'analyse d'images et de textures).
29083,4,Inversion num&eacute;rique de la transformation de Laplace-Carson.
29085,4,On cooperative and concurrent detection in distributed hypothesis testing. (Tests d'hypoth&egrave;ses distribu&eacute;s : coop&eacute;ration et d&eacute;tection concurrente).
29087,4,Maillages de volumes born&eacute;s par des surfaces lisses par morceaux. (Meshing Volumes bounded by Piecewise Smooth Surfaces).
29088,4,Mod&egrave;les prudents en apprentissage statistique supervis&eacute;. (Cautious models in supervised machine learning).
29090,4,Simulation et rendu de vagues d&eacute;ferlantes. (Simulation and rendering of breaking waves).
29091,4,Contribution &agrave; la mod&eacute;lisation et &agrave; la v&eacute;rification des syst&egrave;mes multi agents. (Contribution to Modeling and to Verification of Multi Agent Systems).
29092,4,Compression de contenus visuels pour transmission mobile sur r&eacute;seaux de tr&egrave;s bas d&eacute;bit. (Visual content compression for very low bitrate mobile transmission).
29093,4,Architecture de communication s&eacute;curis&eacute;e d'une flotte de drones. (Secure communication architecture for a UAV swarm).
29094,4,Analyse des syst&egrave;mes mobiles par interpr&eacute;tation abstraite. (Analysis of mobile systems by abstract interpretation).
29095,4,Mod&egrave;les de g&eacute;n&eacute;ration de trajectoires pour l'animation de visages parlants. (Trajectories generation models for talking heads animation).
29096,4,Nonlinear approaches for phase retrieval in the Fresnel region for hard X-ray imaging. (Approches non lin&eacute;aire en imagerie de phase par rayons X dans le domaine de Fresnel).
29097,4,MyGeneFriends : vers un nouveau rapport entre chercheurs et m&eacute;gadonn&eacute;es. (MyGeneFriends : towards a new relationship between researchers and big data).
29098,4,Deep Regression Models and Computer Vision Applications for Multi-Person Human-Robot Interaction. (Mod&egrave;les profonds de regression et applications &agrave; la vision par ordinateur pour l'interaction homme-robot).
29099,4,On the network awareness of P2P applications. (Applications TV pair-&agrave;-pair conscientes du r&eacute;seau).
29100,4,Large-scale learning of shape and motion models for the 3D face. (Apprentissage &agrave; grande &eacute;chelle de mod&egrave;les de formes et de mouvements pour le visage 3D).
29101,4,Distribution dynamique adaptative &agrave; l'aide de m&eacute;canismes d'intelligence collective. (Dynamic adaptive distribution using collective intelligence mechanisms).
29102,4,Harnessing Uncertain Data Structure. (Exploitation de la structure des donn&eacute;es incertaines).
29103,4,Simplicial homology: applied to wireless networks. (Homologie simpliciale appliqu&eacute;e aux r&eacute;seaux sans fil).
29104,4,Interaction entre symbolique et num&eacute;rique : application &agrave; la vision artificielle. (Interaction between Symbolic and numerical Computation; Application to Computer Vision).
29105,4,Algorithmes bio-inspir&eacute;s pour la traduction automatique statistique. (Bio-inspired Algorithms for Statistical Machine Translation).
29106,4,Mapping of large task network on manycore architecture. (Placement de graphes de t&acirc;ches de grande taille sur architectures massivement multicoeurs).
29108,4,Ing&eacute;nierie Concurrente en G&eacute;nie Logiciel: C&eacute;line. (Concurrent Engineering in Software Engineering: Celine).
29109,4,De la construction de preuves &agrave; la programmation parall&egrave;le en logique lin&eacute;aire. (From Proof Construction to Concurrent Programming in Linear Logic).
